episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
264,0.34436289,15.79950764,1,16,0.01154417,0.26759022,0.12195756,11353,11852,85.7506
265,-0.70705494,12.70809977,1,32,0.00388348,0.26625227,0.08152066,11385,11884,85.9579
266,0.21267253,17.28669106,1,28,0.02004175,0.26492101,0.12407002,11413,11912,86.1555
267,0.29814007,16.38138502,1,15,0.00337479,0.26359640,0.11776573,11428,11927,86.2634
268,-0.42632682,14.26748412,1,20,0.00690192,0.26227842,0.11505135,11448,11947,86.4005
269,0.02974860,17.73096494,1,8,0.00089432,0.26096703,0.14953492,11456,11955,86.4577
270,-0.55894649,13.25629025,1,22,0.00108598,0.25966219,0.10716083,11478,11977,86.6116
271,0.07897408,17.49967996,1,10,0.00338773,0.25836388,0.10700830,11488,11987,86.6847
272,0.21091588,16.00026762,1,18,0.01008320,0.25707206,0.14875805,11506,12005,86.8379
273,0.67606748,12.37503086,1,22,0.00855656,0.25578670,0.09562166,11528,12027,87.0145
274,0.45678018,14.49775730,1,20,0.00485205,0.25450777,0.12945113,11548,12047,87.1449
275,0.79444247,10.15303449,1,24,0.00907117,0.25323523,0.12281735,11572,12071,87.3014
276,0.69486477,10.73725605,1,24,0.00195758,0.25196905,0.11580634,11596,12095,87.4464
277,0.73424705,10.75644688,1,27,0.00191701,0.25070921,0.10657404,11623,12122,87.6423
278,-0.46118098,14.30761507,1,20,0.00477625,0.24945566,0.11619089,11643,12142,87.7725
279,0.50221716,13.41210038,1,26,0.00268203,0.24820838,0.11806908,11669,12168,87.9623
280,0.25402671,16.57263250,1,14,0.00618942,0.24696734,0.09447909,11683,12182,88.0544
281,-0.30614653,16.25895515,1,16,0.00632428,0.24573251,0.13309256,11699,12198,88.1626
282,-0.35389965,15.22603871,1,20,0.00494469,0.24450384,0.11971425,11719,12218,88.2871
283,-0.40946362,15.41373624,1,17,0.00305921,0.24328132,0.12757654,11736,12235,88.4077
284,-0.05030686,17.73710297,1,9,0.00020659,0.24206492,0.13916189,11745,12244,88.4672
285,-0.72369773,10.15627449,1,24,0.00524726,0.24085459,0.11666661,11769,12268,88.6174
286,0.21945606,19.27945358,1,20,0.00352332,0.23965032,0.13437861,11789,12288,88.7402
